"FR","Gender","Departmnet","Record_id","State","S_D_E","RO_F_EG","Deadline_today","Workload_today","Workplace","RS","TW_W_H","TW_Research","Break","Email","funding_proposal","NP","FA","Success","Com_Proposal","L_Of_SR","W_WB_PD","T","DS","refereed_conference","A_N_Conf_Pap","core_rank","if_you_submit_manuscripts","far_in_advance_do_you","length_of_supp","in_the_week_leading_to_a_c","you_typically_subm","ss_level_in_a_fundi","Comments"
"Assistant Professor","Female","Biology",338,"South","Three months","75-100%","Yes","Standard","Home","RS2","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","< 10%","> 2 months","3-6 months","More","T1","About the same","No","","","","","","",NA,NA,"My reactions and stress have changed significantly over my 4 years as assistant professor with no grants funded.  My stress and work distribution is completely different now, also because my teaching preparation workload is manageable compared with in the first two years when I had to develop the classes.  I think rolling deadlines are the best for you and also for the university grant administrators to pay the most attention to your proposal.  Those of us applying constantly to multiple agencies already have the burden spread.  That is probably most researchers now."
"Professor","Male","Geosciences",339,"South","Three months","Fully funded","Yes","Heavy","Home","RS1","40-50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NASA","30-50%","> 2 months","1-3 months","Significantly more","T2","Significantly less","No","","","","","","",NA,NA,"All ideas, writing, reading basically are done by myself. Reducing the amount of time doing compliance busy  work  would be helpful. Sending in a proposal without a deadline would be very helpful."
"Professor","Male","Biology",340,"South","Three months","Fully funded","No","Standard","Office","RS1","> 50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NIH","75-90%","1-2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Associate Professor","Male","Chemistry",341,"South","Three months","50-75%","Yes","Heavy","Office","RS1","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","3-6 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Computer Science",342,"Midwest","Three months","Fully funded","No","Light","Home","RS2","> 50",40,"Every hour","Reply Once/Twice","Yes","NP1","NSF","20-30%","2-4 weeks","6-12 months","Significantly more","T1","More","Yes","3-4","A*","20-30%","> 2 months","3-6 months","Significantly more","Minutes before","More","It feels like sending ideas into a void for a long time. It would be much better to present proposals in the form of presentations to program officers and to be able to answer questions."
"Professor","Male","Psychology",345,"West","Other","1-25%","No","Heavy","Office","RS1","> 50",20,"Other","Reply Once/Twice","Yes","NP1","NSF","20-30%","2-4 weeks","< 1 month","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Mathematics",346,"Midwest","Three months","75-100%","No","Heavy","Home","RS2","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","< 10%","> 2 months","> 12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Psychology",348,"South","Three months","Not funded","No","Light","Office","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP3","NASA","< 10%","1-2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"I'd like to see rolling deadlines. "
"Associate Professor","Female","Health and Human Performance",350,"South","Three months","25-50%","Yes","Standard","Office","RS2","30-40",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","< 10%","> 2 months","6-12 months","About the same","T2","Less","No","","","","","","",NA,NA,"I typically submit my grant proposals a week or more ahead of the deadline in order to successfully work with our admin teams that ultimately submit the paperwork. I also let these teams know that I am planning a submission at least 3 months in advance. I find that this helps ease a lot of stress and has extremely beneficial effects on my relationships with admin personnel."
"Professor","Female","Pharmacological and Pharmaceutical Sciences",351,"South","Three months","75-100%","No","Heavy","Office","RS1","> 50",60,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NIH","20-30%","> 2 months","3-6 months","Significantly more","T2","More","Yes","3-4","A","10-20%","1-2 months","3-6 months","About the same","2 or more days before","About the same","The deadline serves the purpose that I have no objection to keep."
"Professor","Male","Engineering",352,"South","Three months","50-75%","No","Standard","Office","RS1","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","DOD","30-50%","1-2 months","6-12 months","Significantly more","T1","More","Yes","5-6","A","30-50%","1-2 months","6-12 months","More","1-3 hours before","More","Wishing I had had more time; more prior work; more familiarity with the landscape of the funding process"
"Associate Professor","Male","Engineering",356,"South","Three months","75-100%","No","Light","Office","RS2","40-50",30,"Every hour","Reply Once/Twice","Yes","NP2","NASA","20-30%","2-4 weeks","1-3 months","Significantly more","T2","More","Yes","5-6","B","30-50%","> 2 months","6-12 months","More","1-3 hours before","More",""
"Professor","Male","Engineering",357,"South","Three months","50-75%","Yes","Standard","Home","RS2","40-50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","Other","20-30%","1-2 months","< 1 month","Significantly more","T2","More","Yes","3-4","A","30-50%","2-4 weeks","> 12 months","Significantly more","1 day before","More","Frustration with associates not doing their part or doing it well, requiring rewriting."
"Professor","Male","Computer Science",358,"South","Three months","Not funded","No","Light","Office","RS1","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","10-20%","1-2 months","> 12 months","Significantly more","T1","Significantly more","Yes","3-4","B","20-30%","> 2 months","> 12 months","More","3-6 hours before","More","Honestly, my work on proposals probably looks similar to an exponential growth model, so even though I start 2 months ahead, the large bulk of work is done in the last week.  I know this is not ideal, and better time management might fix it, but I haven't managed to fix it in 20 years."
"Associate Professor","Male","Engineering",359,"South","Two months","75-100%","No","Heavy","Home","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","50-75%","> 2 months","3-6 months","More","T2","More","Yes","5-6","A","75-90%","1-2 months","3-6 months","About the same","2 or more days before","About the same",""
"Assistant Professor","Male","Engineering",363,"South","Three months","25-50%","Yes","Heavy","Home","RS1","40-50",30,"Other","Reply instantly","Yes","NP3","NSF","10-20%","2-4 weeks","1-3 months","Significantly more","T1","About the same","Yes","1-2","B","20-30%","> 2 months","1-3 months","About the same","3-6 hours before","About the same",""
"Professor","Male","Engineering",365,"South","Three months","25-50%","Yes","Standard","Home","RS2","40-50",50,"Every hour","Reply instantly","Yes","NP3","Other","20-30%","1-2 weeks","6-12 months","Significantly more","T1","Significantly more","Yes","5-6","A","50-75%","2-4 weeks","> 12 months","Significantly more","3-6 hours before","Significantly more","quarterly proposal deadlines"
"Professor","Male","Mathematics",366,"South","Other","Not funded","No","Heavy","Home","RS1","> 50",50,"Every hour","Reply instantly","Yes","NP1","NSF","< 10%","1-2 months","3-6 months","Significantly more","T1","Significantly more","Yes","1-2","A","> 90%","> 2 months","3-6 months","More","2 or more days before","More",""
"Assistant Professor","Male","Biology",367,"South","Three months","75-100%","No","Standard","Office","RS2","> 50",60,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","1-2 months","1-3 months","More","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Geosciences",368,"South","Three months","Fully funded","No","Heavy","Home","RS2","> 50",70,"Every 3-4 hours","Reply instantly","Yes","NP1","Other","75-90%","> 2 months","> 12 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Associate Professor","Male","Psychology",369,"East","Three months","1-25%","No","Standard","Home","RS2","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","< 10%","1-2 months","3-6 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Professor","Male","Chemistry",370,"South","Three months","50-75%","Yes","Heavy","Office","RS1","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","10-20%","> 2 months","3-6 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Biology",371,"South","Other","50-75%","Yes","Standard","Office","RS2","40-50",70,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","< 10%","2-4 weeks","6-12 months","Significantly less","T1","More","Yes","5-6","A","> 90%","1-2 months","6-12 months","About the same","2 or more days before","About the same","I have been funded by NSF, NIH and NASA grants over forty years for about 28 million dollars. Not including a few million in sponsored research agreements from companies I cofounded.  As a very senior scientist I am not getting funded by NIH anymore which I feel is age discrimination. My funding comes from a new biotech company."
"Associate Professor","Female","Biology",372,"South","Three months","75-100%","No","Standard","Office","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","20-30%","> 2 months","6-12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Engineering",374,"South","Three months","75-100%","No","Heavy","Home","RS2","40-50",60,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","10-20%","> 2 months","6-12 months","More","T2","More","No","","","","","","",NA,NA,"None."
"Professor","Male","Engineering",378,"South","Three months","50-75%","No","Standard","Home","RS2","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","> 2 months","> 12 months","More","T2","About the same","Yes","3-4","B","50-75%","> 2 months","> 12 months","Significantly more","1-3 hours before","More",""
"Professor","Female","Political Science ",379,"South","Other","Not funded","No","Standard","Office","RS2","> 50",10,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","20-30%","> 2 months","3-6 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"Working with sponsored projects office on budgets can be more stressful than anything else because you cannot submit without the university but because that office works on deadline it can be hard to get to the front of the line if you are too early. "
"Associate Professor","Male","Chemistry",381,"South","Three months","75-100%","No","Heavy","Office","RS2","> 50",50,"Other","Reply instantly","Yes","NP1","NSF","20-30%","1-2 months","> 12 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Biology",382,"East","Three months","50-75%","Yes","Heavy","Home","RS2","40-50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NIH","10-20%","> 2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Engineering",383,"South","Three months","50-75%","No","Heavy","Home","RS2","> 50",50,"Every hour","Reply instantly","Yes","NP3","Other","10-20%","1-2 months","1-3 months","Significantly more","T1","More","Yes","5-6","B","75-90%","> 2 months","6-12 months","More","1-3 hours before","More",""
"Associate Professor","Female","Geosciences",384,"South","Three months","Fully funded","Yes","Heavy","Home","RS1","40-50",60,"Every hour","Reply Once/Twice","Yes","NP1","NSF","30-50%","2-4 weeks","3-6 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Physics",387,"West","Other","Fully funded","No","Standard","Office","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","30-50%","> 2 months","6-12 months","More","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Male","Engineering",388,"South","Other","75-100%","Yes","Heavy","Office","RS2","> 50",30,"Other","Reply Once/Twice","Yes","NP1","Other","75-90%","> 2 months","6-12 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"Research proposals to private industry require much more time and effort to engage, identify, and develop potential projects with sponsors.  There is an upfront time investments to establish this long-term relationship and trust.  These efforts are difficult to quantify  in the metric for proposal success.  "
"Assistant Professor","Male","Information Science",389,"Midwest","Three months","25-50%","Yes","Heavy","Other","RS2","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","< 10%","> 2 months","< 1 month","Significantly more","T2","More","Yes","7-9","A*","30-50%","> 2 months","6-12 months","Significantly more","Minutes before","Significantly more","Timelines between publication of a solicitation and deadlines are artificially short. There's also the fact that internal deadlines for submission to the research office are always days earlier to ensure that the proposal is submitted on time. Multiple NSF programs are now moving away from fixed deadlines which is helpful. Additionally, required administrative and support documents create a lot of busy work as part of proposals (e.g. new NSF requirement to use SciENcv for biosketches)."
"Professor","Female","Computer Science",395,"West","Three months","25-50%","No","Light","Home","RS1","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","50-75%","1-2 months","6-12 months","Significantly more","T2","More","Yes","5-6","A*","30-50%","2-4 weeks","6-12 months","Significantly more","1-3 hours before","Significantly more",""
"Associate Professor","Male","Engineering",397,"Midwest","Three months","Fully funded","Yes","Heavy","Home","RS2","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","10-20%","1-2 months","6-12 months","Significantly more","T1","About the same","No","","","","","","",NA,NA,""
"Associate Professor","Male","Computer Science",398,"Midwest","Three months","75-100%","Yes","Standard","Office","RS2","> 50",50,"Every hour","Reply Once/Twice","Yes","NP2","NSF","< 10%","2-4 weeks","6-12 months","More","T1","More","Yes","3-4","A*","20-30%","> 2 months","6-12 months","Significantly more","Minutes before","Significantly more",""
"Assistant Professor","Female","Engineering",399,"Midwest","Three months","50-75%","No","Standard","Home","RS1","30-40",50,"Every 1-2 hours","Reply instantly","Yes","NP3","NIH","< 10%","> 2 months","> 12 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"I tend to be more irritable with family and put everything on the back burner as I try to make a deadline."
"Professor","Male","Psychology",402,"South","Other","50-75%","No","Standard","Home","RS1","40-50",60,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","30-50%","> 2 months","3-6 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Female","Psychology",403,"South","Other","1-25%","Yes","Standard","Home","RS2","> 50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NIH","< 10%","> 2 months","6-12 months","About the same","T2","About the same","No","","","","","","",NA,NA,"We are required to submit proposals through Sponsored Programs at least 1 week prior to submission to check docs/correct errors. "
"Professor","Male","Engineering",404,"South","Three months","75-100%","No","Light","Office","RS2","30-40",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","30-50%","> 2 months","6-12 months","More","T1","More","Yes","1-2","A","75-90%","> 2 months","> 12 months","About the same","1 day before","About the same","It's important to be able to meet deadlines. Deadlines help me focus on the task at hand. There is some stress, but I'm used to it and just consider it part of the process."
"Professor","Female","Psychology",405,"South","Other","25-50%","Yes","Standard","Home","RS2","> 50",20,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NIH","10-20%","> 2 months","> 12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",406,"Midwest","Three months","75-100%","No","Standard","Home","RS1","> 50",20,"Other","Reply instantly","Yes","NP3","Other","20-30%","1-2 months","1-3 months","More","T1","More","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Computer Science",407,"South","Three months","75-100%","Yes","Standard","Office","RS2","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","10-20%","2-4 weeks","3-6 months","Significantly more","T1","Significantly more","Yes","7-9","A*","< 10%","1-2 months","3-6 months","More","1 day before","More","I think no matter how early I start or how late I start the stress of the deadline is always there - so I find I do better not starting too early because im always focused on polishing at the end"
"Associate Professor","Male","Chemistry",408,"South","Three months","50-75%","No","Standard","Home","RS1","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP3","NIH","< 10%","1-2 months","6-12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"I submit more to NIH simply because I can... three deadlines a year are more convenient than a single submission window at NSF. The engineering directorate at NSF got rid of deadlines, it would be great if MPS followed their lead. In terms of funding, I would advocate strongly that 3 x $150k EAGER grants likely have a bigger impact than a single $450k proposal. Thus, I would urge NSF to consider increasing funding to smaller funding mechanisms which are intended to gather preliminary data to increase competitiveness in future submissions."
"Professor","Male","Physics",409,"South","Other","75-100%","No","Heavy","Office","RS1","40-50",20,"Every 3-4 hours","Reply instantly","Yes","NP1","DOD","50-75%","1-2 months","> 12 months","Significantly more","T1","Significantly more","Yes","1-2","A","> 90%","2-4 weeks","6-12 months","More","3-6 hours before","About the same","Without proposal deadlines I doubt they would get done, both by myself and colleagues. Reducing stress would be helpful, but I think that is up to the proposal team and how well they work in advance of the deadlines.     So workshops on proposal preparation and specifically collaborative practices during proposal writing would be very helpful."
"Professor","Male","Engineering",410,"South","Three months","Fully funded","No","Standard","Home","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP3","DOE","10-20%","> 2 months","6-12 months","More","T1","More","Yes",">= 10","A","75-90%","1-2 months","3-6 months","About the same","1-3 hours before","About the same","Deadlines are just part of life"
"Associate Professor","Female","Chemistry",411,"South","Other","1-25%","No","Light","Office","RS1","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","10-20%","1-2 months","1-3 months","Significantly more","T1","Significantly more","Yes","1-2","C","50-75%","1-2 months","6-12 months","More","1-3 hours before","More",""
"Assistant Professor","Female","Mathematics",412,"South","Other","Not funded","Yes","Heavy","Home","RS2","30-40",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","< 10%","2-4 weeks","6-12 months","Significantly more","T2","More","Yes","3-4","A","> 90%","1-2 months","6-12 months","More","1 day before","About the same",""
"Assistant Professor","Male","Physics",415,"South","Three months","50-75%","Yes","Heavy","Office","RS2","> 50",30,"Other","Reply instantly","Yes","NP3","NASA","< 10%","1-2 months","1-3 months","Significantly more","T1","More","Yes","1-2","A","30-50%","1-2 months","1-3 months","About the same","1 day before","About the same","NASA deadlines are usually not optimal for professors. The overall low funding rate makes it very difficult for early career faculty to get their foot in the door. Often most of my time with proposals is spent on appeasing internal paperwork that has no effect on the overall quality of the proposal thus I typically have a very short time to actually spend on the proposal."
"Assistant Professor","Female","Psychology",416,"South","Three months","25-50%","Yes","Standard","Home","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP1","DOD","75-90%","1-2 months","1-3 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Physics",418,"South","Three months","50-75%","Yes","Standard","Office","RS2","40-50",10,"Every 1-2 hours","Reply instantly","Yes","NP2","NASA","< 10%","1-2 weeks","> 12 months","More","T1","Significantly more","No","","","","","","",NA,NA,"Constant fight against a sense of hopelessness with funding proposals in order to maintain enthusiasm for the sake of my postdocs and students. "
"Professor","Male","Mathematics",419,"South","Three months","1-25%","No","Standard","Office","RS2","30-40",50,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","20-30%","2-4 weeks","1-3 months","More","T2","About the same","Yes","1-2","A","30-50%","2-4 weeks","1-3 months","About the same","2 or more days before","About the same","No comment"
"Assistant Professor","Male","Biology",420,"South","Three months","75-100%","No","Heavy","Home","RS2","> 50",20,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","10-20%","1-2 months","3-6 months","More","T2","Significantly more","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Chemistry and Biochemistry",422,"South","Three months","Fully funded","No","Standard","Office","RS2","> 50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NIH","20-30%","> 2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Psychology",423,"South","Other","50-75%","No","Standard","Other","RS1","40-50",10,"Every 3-4 hours","Reply instantly","Yes","NP2","Other","75-90%","1-2 months","1-3 months","More","T2","More","Yes","7-9","A","50-75%","2-4 weeks","> 12 months","More","3-6 hours before","More","My main agency doesn't have fixed proposal deadlines and that is quite nice. "
"Professor","Male","Chemistry",428,"East","Three months","50-75%","No","Standard","Office","RS2","> 50",60,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","10-20%","1-2 months","> 12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"Deadlines help me focus. Without a deadline the submission might be delayed without significant improvement in the proposal quality "
"Professor","Male","Chemistry",430,"Midwest","Three months","25-50%","No","Heavy","Home","RS2","> 50",20,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NIH","10-20%","> 2 months","3-6 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Female","Chemistry",432,"South","Three months","1-25%","No","Heavy","Office","RS1","40-50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","1-2 months","> 12 months","Significantly more","T2","More","Yes","1-2","A","> 90%","> 2 months","3-6 months","About the same","2 or more days before","About the same","Feel like institution and department does not appreciate or support my proposal writing efforts"
"Associate Professor","Male","Medicine",433,"Midwest","Other","75-100%","No","Standard","Office","RS1","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","20-30%","> 2 months","> 12 months","Significantly more","T2","About the same","Yes","1-2","B","75-90%","2-4 weeks","6-12 months","About the same","1 day before","About the same",""
"Professor","Female","Engineering",436,"South","Three months","75-100%","Yes","Heavy","Other","RS2","> 50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","1-2 months","1-3 months","More","T1","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Engineering",437,"South","Three months","25-50%","Yes","Heavy","Office","RS2","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","DOE","< 10%","1-2 months","> 12 months","More","T1","More","Yes","3-4","B","75-90%","> 2 months","> 12 months","More","1-3 hours before","More","There is tremendous pressure to submit.  Process is extremely confusing with very limited support. Most of the time people who get these things are already known to the granting institutions.  It is a good old boy network and there is no way to break in.  Still have to try even though you know there is no way you will get it."
"Professor","Female","Engineering",438,"South","Three months","Not funded","No","Standard","Home","RS2","> 50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","DOE","< 10%","1-2 months","6-12 months","About the same","T2","About the same","Yes","3-4","C","30-50%","1-2 months","6-12 months","About the same","1 day before","About the same","too few appropriate funding opportunties"
"Professor","Female","Chemistry",442,"South","Three months","50-75%","Yes","Heavy","Office","RS2","> 50",70,"Other","Reply instantly","Yes","NP3","NSF","10-20%","2-4 weeks","6-12 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,""
"Professor","Female","Speech, Language, and Hearing",443,"South","Three months","75-100%","Yes","Heavy","Home","RS1","> 50",20,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","DOD","50-75%","> 2 months","6-12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Associate Professor","Female","Psychology",445,"South","Three months","Fully funded","Yes","Heavy","Home","RS2","> 50",40,"Other","Reply Once/Twice","Yes","NP2","NIH","20-30%","1-2 months","> 12 months","Significantly more","T2","Less","No","","","","","","",NA,NA,""
"Associate Professor","Female","Engineering",446,"South","Three months","75-100%","Yes","Heavy","Office","RS2","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","50-75%","1-2 months","> 12 months","Significantly more","T1","About the same","Yes","7-9","A","20-30%","> 2 months","> 12 months","More","Minutes before","More","Deadlines are good to get things done. Sometimes I try to submit something for a deadline I know isn't realistic just to make enough progress for a future more realistic one. Although the last time I tried that I actually did finish the proposal and it got funded first time around!! So turning out to be a fantastic strategy "
"Assistant Professor","Male","Physics",447,"South","Three months","Fully funded","Yes","Heavy","Office","RS2","40-50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NASA","10-20%","1-2 months","6-12 months","Significantly more","T2","Less","No","","","","","","",NA,NA,"Proposal deadlines would be much less problematic if they were tuned to typical faculty schedules. For example have proposals due during summer/winter breaks. Also the stress can be slightly reduced by only requiring documents necessary for evaluating the proposal at the deadline and then requiring the rest only of highly ranked proposals. For example require  project description, summary, DMP , biosketches and a rough budget at submission and only request full budgets, F&E, current and pending support, list of collaborators only of the selected proposals and perhaps a few  backups. "
"Associate Professor","Male","Engineering",449,"South","Three months","Fully funded","No","Light","Home","RS2","40-50",40,"Every hour","Reply instantly","Yes","NP2","NSF","10-20%","> 2 months","1-3 months","More","T2","More","No","","","","","","",NA,NA,"Most of the stress actually comes from dealing with my University OSP.  If the proposal submission could be done without involving them, it would be much better."
"Professor","Female","Engineering",450,"South","Three months","75-100%","Yes","Heavy","Office","RS2","> 50",60,"Other","Reply Once/Twice","Yes","NP2","NSF","10-20%","2-4 weeks","1-3 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"One issue is the amount of paperwork that we need to submit to our own office of research on top of the agency requirements. (And often a week or so before deadlines). Seems that it would be better to divorce the proposal and the budget entirely. You propose work in a certain window of budget. If it is likely to get funded then you submit the budget through the Office of Research and then on to the agency. It would allow researchers to concentrate on one task."
"Professor","Male","Chemistry",451,"South","Three months","50-75%","No","Standard","Office","RS1","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","75-90%","> 2 months","6-12 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Biology",452,"South","Three months","1-25%","No","Standard","Home","RS2","40-50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","20-30%","> 2 months","> 12 months","About the same","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Psychology",454,"South","Two months","50-75%","Yes","Heavy","Home","RS2","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","20-30%","> 2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Psychology",455,"South","Three months","50-75%","No","Standard","Office","RS1","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","10-20%","1-2 months","1-3 months","More","T1","More","No","","","","","","",NA,NA,""
"Professor","Female","Engineering",456,"West","Three months","Fully funded","No","Standard","Home","RS1","40-50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","30-50%","> 2 months","> 12 months","More","T2","About the same","Yes","5-6","A","75-90%","1-2 months","6-12 months","More","3-6 hours before","About the same","I have learned to plan far in advance with a small child at home.  What's hard is collaborating with people who do everything last minute.  Also, my institution is not terribly competent, so I spend a ton of time on administrative tasks, which frankly causes a fair amount of my stress."
"Assistant Professor","Male","Management",457,"West","Other","Not funded","Yes","Heavy","Home","RS2","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","< 10%","> 2 months","1-3 months","More","T2","More","No","","","","","","",NA,NA,"Significant burden coordinating with research development/grant office who coordinate the submission"
"Professor","Male","Engineering",459,"Midwest","Three months","75-100%","Yes","Heavy","Home","RS2","40-50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NIH","30-50%","> 2 months","> 12 months","More","T1","More","Yes","1-2","B","75-90%","1-2 months","6-12 months","About the same","1 day before","About the same",""
"Assistant Professor","Male","Informatics",461,"East","Three months","25-50%","No","Standard","Other","RS1","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","10-20%","1-2 months","6-12 months","Significantly more","T2","More","Yes","5-6","A","20-30%","2-4 weeks","6-12 months","More","1-3 hours before","More","I turn in my proposal documents to my research office a day in advance of them actually submitting the proposal, so that they can perform compliance checking."
"Assistant Professor","Male","Engineering",464,"East","Three months","Fully funded","No","Standard","Home","RS2","30-40",40,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","10-20%","1-2 months","1-3 months","Significantly more","T2","More","Yes","7-9","A","30-50%","2-4 weeks","3-6 months","More","1 day before","About the same",""
"Professor","Female","Engineering",467,"South","Three months","50-75%","No","Heavy","Office","RS2","> 50",20,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","20-30%","> 2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,"I don't see why deadlines are needed.  With no deadlines, people only submit when they are ready, decreasing the burden on everyone."
"Assistant Professor","Male","Engineering",468,"Midwest","Three months","Fully funded","Yes","Standard","Home","RS1","> 50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","DOE","20-30%","2-4 weeks","1-3 months","Significantly more","T1","About the same","No","","","","","","",NA,NA,"I greatly prefer calls that have a pre-proposal or screening stage.  Partly because it spreads out the work a bit over two deadlines, but also because it if I spend an entire week losing sleep I want to have a reasonable chance at actually receiving the award."
"Associate Professor","Female","Chemistry",472,"South","Three months","50-75%","Yes","Heavy","Home","RS2","> 50",30,"Other","Reply Once/Twice","Yes","NP3","Other","< 10%","> 2 months","1-3 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Male","Chemistry",473,"Midwest","Three months","Fully funded","Yes","Heavy","Home","RS1","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","20-30%","2-4 weeks","1-3 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
