"Classification","Department","Gender","Race","Computer_type","Primary_Computer","Computer_purchased","Computer_screen","Warranty","Webcam","Computer_rating","Computer_model","ownership","operating_system","Os_version","Processor","RAM","Hard_disk","Data_HD","Backup","Backup_method","Ext_brand","Clou_brand","Backup_frequency","Automatic_backups","Loss_of_data","UH_M_OneDrive","Secondary_device","Synced_Primary","Smartphone","Smartphone_brand","Smartphone_model","smartwatch","Smartwatch_brand","Smartwatch_model","Course_format","Confident_installing","Internet_speed","Internet_reliability","Computer_labs","Customare_vcare"
"Senior","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2017","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","External backup disk","Other","","Daily","Yes","No","No","Yes","Yes","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 3","Fully Online","Neutral","100 - 300 Mbps","Excellent","Very unlikely","Maybe"
"PhD","Physics","Male","White","Standard User","Desktop","2016","17''","No","No","Good","Other","University property","Other","Other","AMD Ryzen","32 GB","> 1 TB","> 1 TB","Yes","Both","Seagate","Apple iCloud","Daily","Yes","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Fully Online","Very confident","> 500 Mbps","Excellent","Neither likely nor unlikely","Maybe"
"Freshman","Other","Female","Asian American","Standard User","Laptop","2019","13''","1 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Other","No","No","Yes","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Somewhat confident","100 - 300 Mbps","Average","Somewhat likely","Yes"
"PhD","Chemistry","Male","White","Standard User","Laptop","2020","13''","No","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","8 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","Yes","Yes","Yes","Yes","Yes","Samsung","Other","No","","","Face-to-Face","Very confident","100 - 300 Mbps","Average","Very unlikely","Maybe"
"PhD","Chemistry","Male","White","Standard User","Laptop","2019","14''","1 year","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","> 32 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","","","Monthly","No","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Good","Very unlikely","Maybe"
"Sophomore","Computer Science","Female","African American","Standard User","Laptop","2015","13''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","Mojave","Intel Core i5","4 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Somewhat confident","100 - 300 Mbps","Average","Neither likely nor unlikely","Yes"
"Sophomore","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2018","14''","No","Built-in","Average","Other","Own","Windows OS","Other","Intel Core i7","4 GB","128 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 8","No","","","Fully Online","Somewhat confident","100 - 300 Mbps","Average","Somewhat likely","Yes"
"Senior","Computer Science","Male","Other","Standard User","Desktop","2017","17''","3 year","External","Excellent","Other","Own","Windows OS","Windows 10 Pro","AMD Ryzen","16 GB","1 TB","500 GB - 1 TB","Yes","External backup disk","Seagate","","Weekly","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone 11","No","","","Fully Online","Moderately confident","< 100 Mbps","Average","Neither likely nor unlikely","Maybe"
"Senior","Computer Science","Male","Asian American","Standard User","Laptop","2017","13''","No","Built-in","Fair","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Both","Samsung","Google Drive","Monthly","No","Yes","Yes","Yes","Yes","Yes","Samsung","Other","No","","","Face-to-Face","Very confident","> 500 Mbps","Excellent","Neither likely nor unlikely","No"
"Senior","Earth and Atmospheric Sciences","Female","Asian American","Standard User","Laptop","2017","15''","No","No","Fair","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","Yes","Yes","iPhone","Other","No","","","Face-to-Face","Somewhat confident","< 100 Mbps","Poor","Very likely","Yes"
"Senior","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2017","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 11","No","","","Face-to-Face","Very confident","100 - 300 Mbps","Good","Somewhat unlikely","Yes"
"MS","Mathematics","Male","White","Standard User","Desktop","2018","Other","No","No","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","16 GB","> 1 TB","> 1 TB","No","","","","","","No","No","No","","Yes","iPhone","Other","No","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Good","Very unlikely","Yes"
"Senior","Biology and Biochemistry","Male","African American","Standard User","Laptop","2017","14''","No","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","128 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","Samsung","Other","No","","","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Average","Neither likely nor unlikely","Maybe"
"Senior","Computer Science","Male","Asian American","Standard User","Laptop","2017","15''","No","Built-in","Excellent","Other","Own","Windows OS","Other","Intel Core i7","16 GB","> 1 TB","> 1 TB","Yes","Both","WD","Google Drive","Other","No","No","No","Yes","No","Yes","Other","Other","No","","","Fully Online","Very confident","< 100 Mbps","Good","Very unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","Other","Standard User","Laptop","2018","13''","No","Built-in","Good","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone 11","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Excellent","Neither likely nor unlikely","Yes"
"PhD","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","15''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","32 GB","512 GB","100 GB - 500 GB","No","","","","","","Yes","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Neutral","< 100 Mbps","Fair","Somewhat unlikely","Maybe"
"Senior","Biology and Biochemistry","Female","International","Standard User","Laptop","2016","13''","1 year","Built-in","Poor","Apple Macbook Air","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","128 GB","< 100 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone 11","No","","","Fully Online","Not confident","100 - 300 Mbps","Excellent","Neither likely nor unlikely","Maybe"
"Junior","Computer Science","Male","White","Standard User","Desktop","2018","15''","Other","External","Excellent","Other","Own","Other","Other","AMD Ryzen","16 GB","> 1 TB","> 1 TB","No","","","","","","No","Yes","Yes","No","No","","","No","","","Hybrid/Blended","Very confident","< 100 Mbps","Fair","Somewhat unlikely","No"
"Sophomore","Biology and Biochemistry","Female","Other","Standard User","Laptop","2019","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i7","8 GB","512 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 4","Face-to-Face","Somewhat confident","< 100 Mbps","Average","Neither likely nor unlikely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Tablet","2020","13''","No","Built-in","Good","Other","Own","Chrome OS","Other","Other","> 32 GB","512 GB","< 100 GB","No","","","","","","Yes","No","Yes","No","Yes","iPhone","iPhone 8","Yes","Apple Watch","Apple Watch 3","Fully Online","Not confident","300 - 500 Mbps","Good","Very likely","Yes"
"PhD","Biology and Biochemistry","Male","White","Standard User","Laptop","2019","15''","3 year","Built-in","Good","Other","Own","Windows OS","Windows 10 Pro","Intel Core i5","16 GB","256 GB","< 100 GB","Yes","Cloud","","Google Drive","Daily","Yes","No","Yes","No","","Yes","Other","Other","Yes","Samsung","Samsung Galaxy Watch","Hybrid/Blended","Neutral","100 - 300 Mbps","Good","Somewhat likely","Yes"
"Senior","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2017","15''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Pro","Other","8 GB","1 TB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","Other","No","","","Face-to-Face","Somewhat confident","< 100 Mbps","Average","Very unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2020","13''","1 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","16 GB","512 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Weekly","No","No","No","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Moderately confident","< 100 Mbps","Good","Very unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","Prefer Not to Say","Standard User","Laptop","2019","17''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Other","> 32 GB","1 TB","< 100 GB","No","","","","","","No","No","No","","Yes","Other","Other","No","","","Fully Online","Not confident","100 - 300 Mbps","Fair","Neither likely nor unlikely","Yes"
"Sophomore","Biology and Biochemistry","Female","Prefer Not to Say","Standard User","Laptop","2020","15''","1 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","External backup disk","Other","","Other","No","No","No","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","100 - 300 Mbps","Good","Somewhat likely","Maybe"
"Junior","Physics","Male","Hispanic","Standard User","Desktop","2020","Other","No","No","Good","Other","Own","Other","Windows 10 Home","AMD Ryzen","16 GB","> 1 TB","500 GB - 1 TB","Yes","External backup disk","Other","","Monthly","No","No","No","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Very confident","< 100 Mbps","Good","Somewhat likely","Maybe"
"Junior","Computer Science","Transgender","Asian American","Standard User","Desktop","2020","Other","No","No","Good","Other","Own","Windows OS","Windows 10 Pro","AMD Ryzen","16 GB","> 1 TB","500 GB - 1 TB","Yes","External backup disk","Seagate","","Monthly","No","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Average","Very unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","White","Standard User","Laptop","2019","15''","No","No","Average","Apple Macbook Air","Own","Mac OS","Other","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","Yes","External backup disk","Other","","Monthly","No","Yes","No","No","","Yes","iPhone","iPhone 8","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Somewhat confident","< 100 Mbps","Fair","Neither likely nor unlikely","Maybe"
"PhD","Biology and Biochemistry","Female","White","Standard User","Laptop","2020","15''","1 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Pro","Intel Core i7","32 GB","> 1 TB","< 100 GB","Yes","Both","Seagate","Microsoft OneDrive","Daily","Yes","No","Yes","Yes","No","Yes","Google","Google Pixel 4","No","","","Hybrid/Blended","Very confident","> 500 Mbps","Good","Very unlikely","Yes"
"Freshman","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2020","15''","Other","Built-in","Excellent","Dell Inspiron 3000","Own","Windows OS","Windows 10 Home","Intel Core i5","4 GB","128 GB","< 100 GB","No","","","","","","No","No","Yes","No","Yes","Other","Other","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","Somewhat likely","Yes"
"Junior","Mathematics","Male","White","Standard User","Desktop","2018","13''","No","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i7","32 GB","256 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Good","Somewhat unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2013","Other","No","Built-in","Average","Apple Macbook Air","Own","Mac OS","High Sierra","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 11","No","","","Face-to-Face","Neutral","300 - 500 Mbps","Average","Somewhat likely","Yes"
"PhD","Computer Science","Male","Hispanic","Standard User","Desktop","2020","Other","No","External","Excellent","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","> 32 GB","> 1 TB","< 100 GB","Yes","Both","Seagate","Microsoft OneDrive","Other","No","No","No","Yes","Yes","Yes","Other","Other","Yes","Other","Other","Fully Online","Very confident","< 100 Mbps","Good","Very unlikely","No"
"Sophomore","Physics","Female","Other","Standard User","Laptop","2019","15''","1 year","Built-in","Average","Dell Inspiron 5000","Own","Windows OS","Windows 10 Pro","Intel Core i7","32 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Other","Yes","No","Yes","No","","Yes","iPhone","iPhone 8","No","","","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Average","Neither likely nor unlikely","Maybe"
"Junior","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2016","Other","No","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i9","4 GB","128 GB","< 100 GB","Yes","Cloud","","Microsoft OneDrive","Weekly","Yes","No","No","No","","Yes","iPhone","iPhone 8","No","","","Fully Online","Neutral","300 - 500 Mbps","Excellent","Somewhat likely","Yes"
"Sophomore","Chemistry","Male","Hispanic","Standard User","Laptop","2019","15''","1 year","Built-in","Excellent","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","Other","Other","Yes","Other","Other","Face-to-Face","Moderately confident","< 100 Mbps","Average","Neither likely nor unlikely","Yes"
"Junior","Computer Science","Male","White","Standard User","Laptop","2018","15''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","No","No","No","","Yes","Other","Other","No","","","Face-to-Face","Very confident","< 100 Mbps","Good","Neither likely nor unlikely","Maybe"
"PhD","Earth and Atmospheric Sciences","Male","White","Standard User","Laptop","2018","15''","No","Built-in","Excellent","Other","Own","Other","Other","Intel Core i9","> 32 GB","512 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Fully Online","Moderately confident","> 500 Mbps","Excellent","Very unlikely","Maybe"
"Junior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Somewhat confident","< 100 Mbps","Good","Somewhat likely","Maybe"
"PhD","Computer Science","Male","International","Standard User","Laptop","2018","13''","1 year","Built-in","Good","Apple Macbook Pro","University property","Mac OS","High Sierra","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","Yes","Other","Other","Fully Online","Neutral","< 100 Mbps","Average","Somewhat unlikely","Maybe"
"Senior","Computer Science","Female","Asian American","Standard User","Laptop","2019","13''","1 year","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone 11","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Excellent","Very unlikely","No"
"Senior","Computer Science","Male","White","Standard User","Laptop","2017","15''","3 year","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","1 TB","500 GB - 1 TB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone X Series","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Excellent","Very unlikely","Maybe"
"MS","Computer Science","Male","International","Standard User","Laptop","2019","15''","1 year","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","Google","Other","No","","","Face-to-Face","Very confident","< 100 Mbps","Good","Somewhat likely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2016","13''","No","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","256 GB","< 100 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","100 - 300 Mbps","Excellent","Very unlikely","Yes"
"Senior","Computer Science","Male","Other","Standard User","Laptop","2018","15''","1 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","> 1 TB","> 1 TB","No","","","","","","No","Yes","Yes","No","Yes","Google","Other","No","","","Hybrid/Blended","Very confident","< 100 Mbps","Good","Very unlikely","Yes"
"PhD","Physics","Male","White","Standard User","Desktop","2013","Other","No","No","Excellent","Other","University property","Other","Other","Other","16 GB","> 1 TB","500 GB - 1 TB","Yes","External backup disk","WD","","Monthly","No","No","No","Yes","No","Yes","Google","Other","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Excellent","Very unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","Multiracial","Standard User","Laptop","2019","Other","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","> 32 GB","512 GB","< 100 GB","No","","","","","","No","Yes","Yes","Yes","Yes","iPhone","Other","No","","","Face-to-Face","Neutral","> 500 Mbps","Average","Somewhat likely","Maybe"
"Junior","Physics","Female","Prefer Not to Say","Standard User","Laptop","2017","14''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Pro","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Google Drive","Weekly","No","No","No","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Poor","Somewhat unlikely","Yes"
"Junior","Mathematics","Male","Asian American","Standard User","Tablet","2018","14''","No","External","Good","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i7","8 GB","128 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","Yes","Yes","iPhone","Other","No","","","Hybrid/Blended","Neutral","100 - 300 Mbps","Good","Neither likely nor unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2013","14''","No","Built-in","Excellent","Apple Macbook Air","Own","Chrome OS","High Sierra","Intel Core i5","16 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Other","Yes","No","No","No","","Yes","iPhone","Other","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Neutral","100 - 300 Mbps","Average","Somewhat unlikely","Yes"
"Sophomore","Mathematics","Female","Hispanic","Standard User","Laptop","2018","13''","No","No","Fair","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i7","32 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Not confident","100 - 300 Mbps","Poor","Somewhat unlikely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","16 GB","128 GB","500 GB - 1 TB","Yes","External backup disk","Seagate","","Other","Yes","No","No","Yes","No","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Somewhat confident","300 - 500 Mbps","Average","Neither likely nor unlikely","Yes"
"Sophomore","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2020","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Chrome OS","Windows 10 Home","Intel Core i5","16 GB","1 TB","500 GB - 1 TB","Yes","Cloud","","Google Drive","Daily","Yes","No","Yes","No","","Yes","iPhone","iPhone 11","No","","","Face-to-Face","Neutral","300 - 500 Mbps","Fair","Somewhat likely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2015","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i9","> 32 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Monthly","No","No","Yes","Yes","Yes","Yes","iPhone","iPhone 11","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Excellent","Neither likely nor unlikely","Maybe"
"P-B second-degree","Computer Science","Male","White","Standard User","Laptop","2019","Other","No","No","Good","Other","Other","Windows OS","Windows 10 Enterprise","Intel Core i7","32 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Very confident","> 500 Mbps","Excellent","Somewhat unlikely","Maybe"
"Sophomore","Computer Science","Female","Asian American","Standard User","Laptop","2019","13''","1 year","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Fair","Neither likely nor unlikely","Maybe"
"Junior","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2018","15''","1 year","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","< 100 GB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Neutral","100 - 300 Mbps","Average","Somewhat likely","Yes"
"MS","Computer Science","Male","International","Standard User","Laptop","2018","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","WD","","Weekly","Yes","Yes","Yes","Yes","No","Yes","Other","Other","No","","","Hybrid/Blended","Very confident","< 100 Mbps","Average","Neither likely nor unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","14''","No","Built-in","Good","Microsoft Surface","Own","Chrome OS","Windows 10 Pro","Other","> 32 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Somewhat confident","< 100 Mbps","Average","Neither likely nor unlikely","Yes"
"Junior","Computer Science","Male","White","Standard User","Desktop","2020","Other","No","No","Excellent","Other","Own","Windows OS","Windows 10 Pro","AMD Ryzen","16 GB","> 1 TB","> 1 TB","Yes","Both","WD","Google Drive","Weekly","Yes","No","Yes","Yes","Yes","Yes","iPhone","Other","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Very confident","< 100 Mbps","Excellent","Very unlikely","No"
"PhD","Earth and Atmospheric Sciences","Male","African American","Standard User","Laptop","2018","13''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","High Sierra","Intel Core i5","4 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Daily","No","Yes","No","No","","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Average","Somewhat likely","Yes"
"Junior","Biology and Biochemistry","Female","White","Standard User","Desktop","2018","15''","No","Built-in","Good","Lenovo Yoga","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","Other","No","","","Hybrid/Blended","Not confident","< 100 Mbps","Fair","Very unlikely","Maybe"
"Freshman","Computer Science","Male","Hispanic","Standard User","Laptop","2019","15''","No","Built-in","Average","Lenovo ThinkPad","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","512 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","iPhone 8","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Moderately confident","< 100 Mbps","Fair","Very unlikely","Maybe"
"Junior","Computer Science","Female","Hispanic","Standard User","Laptop","2018","14''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","Other","No","No","Yes","Yes","No","Yes","Other","Other","No","","","Fully Online","Moderately confident","< 100 Mbps","Excellent","Very unlikely","Maybe"
"Senior","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2017","13''","3 year","Built-in","Average","Apple Macbook Air","Own","Mac OS","High Sierra","AMD Ryzen","8 GB","256 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Monthly","Yes","No","No","No","","Yes","iPhone","Other","No","","","Hybrid/Blended","Not confident","< 100 Mbps","Poor","Very likely","Yes"
"Senior","Biology and Biochemistry","Male","White","Standard User","Desktop","2019","Other","No","External","Excellent","Other","Own","Other","Windows 10 Pro","AMD Ryzen","16 GB","> 1 TB","> 1 TB","Yes","External backup disk","Other","","Weekly","Yes","No","No","Yes","Yes","Yes","Other","Other","No","","","Fully Online","Very confident","> 500 Mbps","Excellent","Very unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Female","African American","Standard User","Laptop","2020","13''","1 year","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Microsoft OneDrive","Weekly","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Neutral","> 500 Mbps","Average","Somewhat unlikely","Maybe"
"P-B non-degree","Biology and Biochemistry","Prefer Not to Say","Prefer Not to Say","Standard User","Desktop","2018","15''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone 8","Yes","Apple Watch","Apple Watch 4","Fully Online","Moderately confident","100 - 300 Mbps","Average","Very unlikely","Maybe"
"Senior","Computer Science","Female","Asian American","Standard User","Laptop","2018","17''","No","Built-in","Average","Other","Own","Other","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Very confident","< 100 Mbps","Poor","Somewhat unlikely","No"
"Senior","Biology and Biochemistry","Prefer Not to Say","Prefer Not to Say","Standard User","Laptop","2017","13''","No","Built-in","Excellent","Lenovo Yoga","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Monthly","Yes","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Face-to-Face","Very confident","100 - 300 Mbps","Average","Neither likely nor unlikely","Maybe"
"Freshman","Computer Science","Male","Hispanic","Standard User","Laptop","2019","15''","1 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","No","Yes","Other","Other","No","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Excellent","Very unlikely","Yes"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2019","14''","No","Built-in","Excellent","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Neutral","100 - 300 Mbps","Good","Somewhat unlikely","Yes"
"Sophomore","Mathematics","Male","Hispanic","Standard User","Laptop","2018","17''","1 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","High Sierra","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Weekly","Yes","No","Yes","Yes","No","Yes","iPhone","iPhone 8","Yes","Apple Watch","Apple Watch 5","Hybrid/Blended","Very confident","100 - 300 Mbps","Excellent","Very likely","Yes"
